Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
225255,27in 4K Gaming Monitor,1,3899900.0,08/12/21 20:10,"Jalan Srikandi No 84, Jaksel, Jakarta 11556"
225256,27in FHD Monitor,1,1499900.0,08/28/21 11:35,"Jalan Jeruk No 50, Surabaya, Jatim 60111"
225257,AAA Batteries (4-pack),1,29900.000000000004,08/10/21 11:46,"Jalan Sungai No 52, Jaksel, Jakarta 11556"
225258,Bose SoundSport Headphones,1,999900.0,08/03/21 22:55,"Jalan Pahala No 46, Semarang, Jateng 54221"
225259,Wired Headphones,1,119900.0,08/23/21 10:29,"Jalan Wonoranti No 23, Semarang, Jateng 54221"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
225260,AA Batteries (4-pack),1,38400.0,08/13/21 11:30,"Jalan Jeruk No 8, Semarang, Jateng 54221"
225261,Lightning Charging Cable,1,149500.0,08/31/21 12:21,"Jalan Merdeka No 3, Semarang, Jateng 54221"
225262,Lightning Charging Cable,1,149500.0,08/31/21 13:12,"Jalan Serut No 40, Surabaya, Jatim 60111"
225263,AAA Batteries (4-pack),1,29900.000000000004,08/04/21 10:14,"Jalan Semanggi No 47, Jakbar, Jakarta 10244"
225264,USB-C Charging Cable,1,119500.0,08/22/21 17:02,"Jalan Merbabu No 37, Jakbar, Jakarta 10244"
225265,AAA Batteries (4-pack),1,29900.000000000004,08/24/21 06:58,"Jalan Merdeka No 3, Gresik, Jatim 60222"
225266,AA Batteries (4-pack),1,38400.0,08/29/21 18:19,"Jalan Sembrani No 70, Sidoarjo, Jatim 60254"
225267,iPhone 11,1,7000000,08/22/21 11:35,"Jalan Majapahit No 82, Gresik, Jatim 60222"
225268,Bose SoundSport Headphones,1,999900.0,08/25/21 20:47,"Jalan KH Ahmad Dahlan No 81, Sidoarjo, Jatim 60254"
225269,Lightning Charging Cable,1,149500.0,08/10/21 14:19,"Jalan Serut No 19, Malang, Jatim 60254"
225270,Bose SoundSport Headphones,1,999900.0,08/11/21 18:34,"Jalan Kaca Piring No 58, Surabaya, Jatim 60111"
225271,27in FHD Monitor,1,1499900.0,08/25/21 21:22,"Jalan Giri No 77, Sidoarjo, Jatim 60254"
225272,Samsung Galaxy A54,1,6000000,08/23/21 18:43,"Jalan Serut No 84, Surabaya, Jatim 60111"
225273,AA Batteries (4-pack),1,38400.0,08/26/21 18:54,"Jalan Perdana No 43, Surabaya, Jatim 60111"
225274,AA Batteries (4-pack),1,38400.0,08/21/21 08:52,"Jalan KH HAsyim Asyari No 71, Solo, Jateng 51233"
225275,AA Batteries (4-pack),1,38400.0,08/12/21 11:58,"Jalan KH Ahmad Dahlan No 59, Semarang, Jateng 54221"
225276,Apple Airpods Headphones,1,1500000,08/28/21 17:27,"Jalan Apel No 41, Jaksel, Jakarta 11556"
225277,27in FHD Monitor,1,1499900.0,08/02/21 11:33,"Jalan Pahala No 44, Jaksel, Jakarta 11556"
225278,AA Batteries (4-pack),1,38400.0,08/15/21 14:07,"Jalan Jambu No 100, Jaksel, Jakarta 11556"
225279,Lightning Charging Cable,1,149500.0,08/22/21 18:28,"Jalan Manggis No 76, Jakbar, Jakarta 10244"
225280,Macbook Pro Laptop,1,17000000,08/25/21 16:22,"Jalan KH HAsyim Asyari No 1, Jakbar, Jakarta 10244"
225281,AAA Batteries (4-pack),1,29900.000000000004,08/24/21 18:14,"Jalan Sarkoro No 97, Semarang, Jateng 54221"
225282,Bose SoundSport Headphones,1,999900.0,08/21/21 14:45,"Jalan Wonoranti No 76, Malang, Jatim 60254"
225283,AA Batteries (4-pack),1,38400.0,08/15/21 04:52,"Jalan Rambutan No 77, Sidoarjo, Jatim 60254"
225284,Lightning Charging Cable,1,149500.0,08/16/21 09:19,"Jalan Pajajaran No 89, Gresik, Jatim 60222"
225285,Bose SoundSport Headphones,1,999900.0,08/27/21 07:06,"Jalan Serambi No 72, Sidoarjo, Jatim 60254"
225286,iPhone 11,1,7000000,08/09/21 08:09,"Jalan Kandang No 47, Jakbar, Jakarta 10244"
225286,Lightning Charging Cable,1,149500.0,08/09/21 08:09,"Jalan Kandang No 47, Jakbar, Jakarta 10244"
225287,LG Dryer,1,6000000.0,08/04/21 20:39,"Jalan Giri No 63, Jaktim, Jakarta 10110"
225288,AA Batteries (4-pack),1,38400.0,08/27/21 20:31,"Jalan Perjuangan No 41, Gresik, Jatim 60222"
225288,27in 4K Gaming Monitor,1,3899900.0,08/27/21 20:31,"Jalan Perjuangan No 41, Gresik, Jatim 60222"
225289,27in FHD Monitor,1,1499900.0,08/31/21 10:49,"Jalan Sembrani No 42, Bandung, Jabar 16232"
225290,Apple Airpods Headphones,1,1500000,08/31/21 01:27,"Jalan Semangat No 4, Sidoarjo, Jatim 60254"
225291,Lightning Charging Cable,1,149500.0,08/20/21 16:00,"Jalan Sungai No 100, Semarang, Jateng 54221"
225292,Samsung Galaxy A54,1,6000000,08/22/21 17:41,"Jalan Gajah No 4, Bandung, Jabar 16232"
225293,27in FHD Monitor,1,1499900.0,08/17/21 10:44,"Jalan Nusantara No 40, Gresik, Jatim 60222"
225294,USB-C Charging Cable,1,119500.0,08/08/21 18:56,"Jalan Jaya No 16, Surabaya, Jatim 60111"
225295,USB-C Charging Cable,1,119500.0,08/07/21 20:26,"Jalan Merdeka No 25, Sidoarjo, Jatim 60254"
225296,Apple Airpods Headphones,1,1500000,08/09/21 14:46,"Jalan Jeruk No 71, Bandung, Jabar 16232"
225297,Apple Airpods Headphones,1,1500000,08/30/21 14:40,"Jalan Masjid No 86, Semarang, Jateng 54221"
225298,AAA Batteries (4-pack),1,29900.000000000004,08/09/21 12:17,"Jalan Sarkoro No 4, Semarang, Jateng 54221"
225299,AA Batteries (4-pack),1,38400.0,08/30/21 20:45,"Jalan Gajah No 2, Semarang, Jateng 54221"
225300,Lightning Charging Cable,1,149500.0,08/25/21 17:26,"Jalan Demak No 85, Surabaya, Jatim 60111"
225301,27in FHD Monitor,1,1499900.0,08/06/21 03:02,"Jalan Sarkoro No 27, Malang, Jatim 60254"
225302,Apple Airpods Headphones,1,1500000,08/31/21 21:50,"Jalan Kaca Piring No 21, Gresik, Jatim 60222"
225303,Macbook Pro Laptop,1,17000000,08/23/21 13:42,"Jalan Pahlawan No 96, Gresik, Jatim 60222"
225304,AAA Batteries (4-pack),1,29900.000000000004,08/19/21 15:39,"Jalan Dam Biru No 33, Gresik, Jatim 60222"
225305,USB-C Charging Cable,1,119500.0,08/10/21 20:59,"Jalan Rambutan No 60, Semarang, Jateng 54221"
225306,iPhone 11,1,7000000,08/30/21 12:43,"Jalan KH Ahmad Dahlan No 75, Sidoarjo, Jatim 60254"
225307,Lightning Charging Cable,1,149500.0,08/13/21 11:47,"Jalan Jeruk No 100, Surabaya, Jatim 60111"
225308,USB-C Charging Cable,1,119500.0,08/19/21 14:24,"Jalan Perdana No 4, Jakbar, Jakarta 10244"
225309,iPhone 11,1,7000000,08/25/21 15:15,"Jalan Merdeka No 22, Semarang, Jateng 54221"
225310,27in FHD Monitor,1,1499900.0,08/26/21 15:13,"Jalan Senggani No 71, Jaksel, Jakarta 11556"
225311,27in FHD Monitor,1,1499900.0,08/23/21 20:43,"Jalan Cheri No 40, Surabaya, Jatim 60111"
225312,USB-C Charging Cable,1,119500.0,08/30/21 17:18,"Jalan Sentanu No 8, Jakbar, Jakarta 10244"
225313,USB-C Charging Cable,1,119500.0,08/06/21 08:43,"Jalan Suci No 19, Sidoarjo, Jatim 60254"
225314,Bose SoundSport Headphones,1,999900.0,08/26/21 19:34,"Jalan Jaya No 9, Solo, Jateng 51233"
225315,Macbook Pro Laptop,1,17000000,08/26/21 14:47,"Jalan Perdana No 15, Solo, Jateng 51233"
225316,AAA Batteries (4-pack),1,29900.000000000004,08/03/21 00:22,"Jalan Demak No 33, Sidoarjo, Jatim 60254"
225317,Apple Airpods Headphones,1,1500000,08/27/21 10:40,"Jalan Wonoranti No 41, Jakbar, Jakarta 10244"
225318,Lightning Charging Cable,1,149500.0,08/24/21 22:30,"Jalan Srikandi No 63, Surabaya, Jatim 60111"
225319,iPhone 11,1,7000000,08/29/21 20:43,"Jalan Srikandi No 37, Surabaya, Jatim 60111"
225320,Wired Headphones,1,119900.0,08/05/21 10:55,"Jalan KH HAsyim Asyari No 87, Jakbar, Jakarta 10244"
225321,AAA Batteries (4-pack),1,29900.000000000004,08/25/21 16:40,"Jalan Semanggi No 53, Jakbar, Jakarta 10244"
225322,Samsung Galaxy A54,1,6000000,08/21/21 23:42,"Jalan Cheri No 55, Surabaya, Jatim 60111"
225323,27in FHD Monitor,1,1499900.0,08/29/21 09:51,"Jalan Sembayu No 92, Gresik, Jatim 60222"
225324,20in Monitor,1,1099900.0,08/22/21 17:03,"Jalan Rambutan No 63, Semarang, Jateng 54221"
225325,34in Ultrawide Monitor,1,3799900.0,08/22/21 16:40,"Jalan Sembrani No 5, Jakbar, Jakarta 10244"
225326,ThinkPad Laptop,1,9999900.0,08/12/21 19:06,"Jalan Sungai No 71, Gresik, Jatim 60222"
225327,Lightning Charging Cable,1,149500.0,08/07/21 15:59,"Jalan Senggani No 77, Surabaya, Jatim 60111"
225328,AA Batteries (4-pack),1,38400.0,08/21/21 07:38,"Jalan KH Ahmad Dahlan No 86, Surabaya, Jatim 60111"
225329,27in FHD Monitor,1,1499900.0,08/26/21 17:50,"Jalan Kandang No 22, Surabaya, Jatim 60111"
225330,iPhone 11,1,7000000,08/10/21 22:58,"Jalan Jambu No 51, Jakbar, Jakarta 10244"
225331,Apple Airpods Headphones,1,1500000,08/24/21 13:09,"Jalan Pajajaran No 7, Gresik, Jatim 60222"
225332,27in FHD Monitor,1,1499900.0,08/23/21 18:54,"Jalan Nusantara No 42, Malang, Jatim 60254"
225333,Apple Airpods Headphones,1,1500000,08/27/21 13:41,"Jalan Gurami No 86, Jaksel, Jakarta 11556"
225334,USB-C Charging Cable,1,119500.0,08/18/21 10:40,"Jalan Sigunting No 58, Gresik, Jatim 60222"
225335,Apple Airpods Headphones,1,1500000,08/10/21 18:24,"Jalan Soekarno Hatta No 13, Gresik, Jatim 60222"
225336,Apple Airpods Headphones,1,1500000,08/23/21 10:23,"Jalan Soekarno Hatta No 82, Surabaya, Jatim 60111"
225337,Lightning Charging Cable,1,149500.0,08/26/21 20:44,"Jalan Srikandi No 33, Surabaya, Jatim 60111"
225338,34in Ultrawide Monitor,1,3799900.0,08/04/21 16:45,"Jalan Kutilang No 18, Jaksel, Jakarta 11556"
225339,Wired Headphones,1,119900.0,08/31/21 21:10,"Jalan Suci No 55, Sidoarjo, Jatim 60254"
225340,iPhone 11,1,7000000,08/31/21 18:36,"Jalan Merapi No 5, Surabaya, Jatim 60111"
225341,USB-C Charging Cable,1,119500.0,08/21/21 18:22,"Jalan Gurami No 71, Jakbar, Jakarta 10244"
225342,27in 4K Gaming Monitor,1,3899900.0,08/04/21 16:05,"Jalan Pengging No 56, Jaksel, Jakarta 11556"
225343,AAA Batteries (4-pack),1,29900.000000000004,08/12/21 10:08,"Jalan Srikandi No 62, Gresik, Jatim 60222"
225344,AAA Batteries (4-pack),1,29900.000000000004,08/03/21 11:50,"Jalan Rambutan No 77, Bandung, Jabar 16232"
225345,Bose SoundSport Headphones,1,999900.0,08/02/21 10:36,"Jalan Dam Biru No 77, Gresik, Jatim 60222"
225346,Bose SoundSport Headphones,1,999900.0,08/16/21 02:08,"Jalan Sentanu No 99, Solo, Jateng 51233"
225346,Apple Airpods Headphones,1,1500000,08/16/21 02:08,"Jalan Sentanu No 99, Solo, Jateng 51233"
225347,USB-C Charging Cable,1,119500.0,08/24/21 09:27,"Jalan Sungai No 89, Surabaya, Jatim 60111"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
225348,AAA Batteries (4-pack),1,29900.000000000004,08/30/21 22:54,"Jalan Gurami No 28, Jakbar, Jakarta 10244"
225349,AAA Batteries (4-pack),1,29900.000000000004,08/04/21 11:30,"Jalan Pahlawan No 57, Sidoarjo, Jatim 60254"
225350,Apple Airpods Headphones,1,1500000,08/11/21 16:07,"Jalan Pahlawan No 77, Jaksel, Jakarta 11556"
225351,Wired Headphones,1,119900.0,08/18/21 11:52,"Jalan Jeruk No 40, Bandung, Jabar 16232"
225352,Bose SoundSport Headphones,1,999900.0,08/09/21 19:14,"Jalan Serambi No 77, Gresik, Jatim 60222"
225353,Macbook Pro Laptop,1,17000000,08/12/21 11:42,"Jalan Perjuangan No 29, Jaksel, Jakarta 11556"
225354,AAA Batteries (4-pack),1,29900.000000000004,08/21/21 19:48,"Jalan Sembrani No 4, Surabaya, Jatim 60111"
225355,Wired Headphones,1,119900.0,08/28/21 21:03,"Jalan Pahala No 63, Semarang, Jateng 54221"
225356,USB-C Charging Cable,1,119500.0,08/26/21 17:00,"Jalan Wonoranti No 63, Malang, Jatim 60254"
225357,AAA Batteries (4-pack),1,29900.000000000004,08/04/21 10:26,"Jalan Sentanu No 46, Bandung, Jabar 16232"
225358,Wired Headphones,1,119900.0,08/15/21 18:53,"Jalan Srikandi No 32, Sidoarjo, Jatim 60254"
225359,USB-C Charging Cable,1,119500.0,08/04/21 00:13,"Jalan Semangat No 83, Sidoarjo, Jatim 60254"
225360,AAA Batteries (4-pack),1,29900.000000000004,08/20/21 16:55,"Jalan Jaya No 100, Gresik, Jatim 60222"
225361,27in 4K Gaming Monitor,1,3899900.0,08/25/21 14:40,"Jalan Semanggi No 97, Surabaya, Jatim 60111"
